001_SDN_Ajung
002_SDN_Ambakiang_Hulu
003_SDN_Aniyungan
004_SDN_Auh
005_SDN_Badalungga
006_SDN_Badalungga_Hilir
007_SDN_Bakung
008_SDN_Balida
009_SDN_Banua_Hanyar
010_SDN_Baramban
011_SDN_Baru
012_SDN_Baruh_Bahinu_Dalam
013_SDN_Baruh_Bahinu_Luar
014_SDN_Baruh_Penyambaran_1
015_SDN_Baruh_Penyambaran_2
016_SDN_Bata
017_SDN_Batu_Merah_1
018_SDN_Batu_Merah_3
019_SDN_Batu_Piring
020_SDN_Bayur
021_SDN_Belanti
022_SDN_Binjai_Punggal_1
023_SDN_Binjai_Punggal_2
024_SDN_Binju
025_SDN_Binuang_Santang
026_SDN_Bungur
027_SDN_Buntu_Karau_1
028_SDN_Dahai
029_SDN_Danau_Banta
030_SDN_Dayak_Pitap
031_SDN_Galumbang_Juai
032_SDN_Galumbang_Paringin_Selatan
033_SDN_Gampa
034_SDN_Guha_1
035_SDN_Guha_2
036_SDN_Gulinggang
037_SDN_Gunung_Manau
038_SDN_Gunung_Pandau
039_SDN_Gunung_Riut_1
040_SDN_Gunung_Riut_2
041_SDN_Halong_1
042_SDN_Halong_2
043_SDN_Halong_3
044_SDN_Halubau
045_SDN_Halubau_Utara
046_SDN_Hamarung_1
047_SDN_Hamarung_2
048_SDN_Hamparaya
049_SDN_Hauwai_1
050_SDN_Hauwai_2
051_SDN_Hilir_Pasar
052_SDN_Hujan_Amas_1
053_SDN_Hujan_Amas_2
054_SDN_Hukai
055_SDN_Inan
056_SDN_Jimamun
057_SDN_Ju'uh
058_SDN_Juai
059_SDN_Jungkal
060_SDN_Kaladan
061_SDN_Kalahiang
062_SDN_Kambiyain
063_SDN_Kandang_Jaya
064_SDN_Kapul
065_SDN_Karuh
066_SDN_Kasai
067_SDN_Kupang
068_SDN_Kusambi_Hilir
069_SDN_Kusambi_Hulu_1
070_SDN_Kusambi_Hulu_2
071_SDN_Lajar
072_SDN_Lalayau_1
073_SDN_lalayau_2
074_SDN_Lamida_Atas
075_SDN_Lampihong_Kanan
076_SDN_Lampihong_Kiri
077_SDN_Langkap
078_SDN_Lasung_Batu_1
079_SDN_Lasung_Batu_2
080_SDN_Lingsir
081_SDN_Lok_Batu
082_SDN_Lok_Batung
083_SDN_Lok_Hamawang
084_SDN_Lok_Panginangan
085_SDN_Malihu
086_SDN_Mamantang
087_SDN_Mampari
088_SDN_Mangkayahu
089_SDN_Maningau
090_SDN_Mantimin_1
091_SDN_Mantimin_2
092_SDN_Mantuyan
093_SDN_Maradap
094_SDN_Marias
095_SDN_Matang_Hanau
096_SDN_Mauya
097_SDN_Mayanau
098_SDN_Merah
099_SDN_Mihu_1
100_SDN_Mihu_2
101_SDN_Muara_Jaya
102_SDN_Muara_Ninian
103_SDN_Muara_Pitap
104_SDN_Mundar
105_SDN_Mungkur_Uyam
106_SDN_Munjung
107_SDN_Murung_Abuin
108_SDN_Murung_Ilung
109_SDN_Nungka
110_SDN_Pamurus
111_SDN_Panaitan
112_SDN_Panikin
113_SDN_Paringin_1
114_SDN_Paringin_2
115_SDN_Paringin_Selatan_1
116_SDN_Paringin_Timur
117_SDN_Pelajau
118_SDN_Pematang
119_SDN_Pimping
120_SDN_Piyait
121_SDN_Pulantan
122_SDN_Pulau_Kambang
123_SDN_Putat_Basiun
124_SDN_Puyun
125_SDN_Riwa
126_SDN_Sei_Kusi
127_SDN_Simpang_Tiga
128_SDN_Sirap_1
129_SDN_Sirap_2
