281,SDN Mungkur Uyam,105,105_SDN Mungkur Uyam
240,SDN Munjung,106,106_SDN Munjung
383,SDN Murung Abuin,107,107_SDN Murung Abuin
173,SDN Murung Ilung,108,108_SDN Murung Ilung
203,SDN Nungka,109,109_SDN Nungka
282,SDN Pamurus,110,110_SDN Pamurus
134,SDN Panaitan,111,111_SDN Panaitan
362,SDN Panikin,112,112_SDN Panikin
174,SDN Paringin 1,113,113_SDN Paringin 1
175,SDN Paringin 2,114,114_SDN Paringin 2
384,SDN Paringin Selatan 1,115,115_SDN Paringin Selatan 1
176,SDN Paringin Timur,116,116_SDN Paringin Timur
241,SDN Pelajau,117,117_SDN Pelajau
204,SDN Pematang,118,118_SDN Pematang
135,SDN Pimping,119,119_SDN Pimping
205,SDN Piyait,120,120_SDN Piyait
206,SDN Pulantan,121,121_SDN Pulantan
207,SDN Pulau Kambang,122,122_SDN Pulau Kambang
208,SDN Putat Basiun,123,123_SDN Putat Basiun
329,SDN Puyun,124,124_SDN Puyun
242,SDN Riwa,125,125_SDN Riwa
243,SDN Sei Kusi,126,126_SDN Sei Kusi
136,SDN Simpang Tiga,127,127_SDN Simpang Tiga
283,SDN Sirap 1,128,128_SDN Sirap 1
284,SDN Sirap 2,129,129_SDN Sirap 2
285,SDN Sirap 3,130,130_SDN Sirap 3
244,SDN Sumpung,131,131_SDN Sumpung
286,SDN Sungai Batung,132,132_SDN Sungai Batung
245,SDN Sungai Hanyar,133,133_SDN Sungai Hanyar
177,SDN Sungai Ketapi,134,134_SDN Sungai Ketapi
209,SDN Sungai Pumpung,135,135_SDN Sungai Pumpung
137,SDN Sungai Tabuk,136,136_SDN Sungai Tabuk
363,SDN Sungsum,137,137_SDN Sungsum
330,SDN Tabuan 1,138,138_SDN Tabuan 1
331,SDN Tabuan 2,139,139_SDN Tabuan 2
138,SDN Tampang,140,140_SDN Tampang
139,SDN Tanah Habang Kanan 1,141,141_SDN Tanah Habang Kanan 1
140,SDN Tanah Habang Kanan 2,142,142_SDN Tanah Habang Kanan 2
141,SDN Tanah Habang Kiri,143,143_SDN Tanah Habang Kiri
385,SDN Tarangan,144,144_SDN Tarangan
287,SDN Tawahan 1,145,145_SDN Tawahan 1
296,SDN Tawahan 2,146,146_SDN Tawahan 2
364,SDN Tebing Tinggi,147,147_SDN Tebing Tinggi
386,SDN Telaga Purun,148,148_SDN Telaga Purun
288,SDN Teluk Bayur 2,149,149_SDN Teluk Bayur 2
289,SDN Teluk Bayur 3,150,150_SDN Teluk Bayur 3
246,SDN Teluk Mesjid 1,151,151_SDN Teluk Mesjid 1
247,SDN Teluk Mesjid 2,152,152_SDN Teluk Mesjid 2
290,SDN Tigarun,153,153_SDN Tigarun
248,SDN Timbun Tulang,154,154_SDN Timbun Tulang
210,SDN Tundakan,155,155_SDN Tundakan
211,SDN Tundi,156,156_SDN Tundi
212,SDN U ungan,157,157_SDN U ungan
332,SDN Uren 1,158,158_SDN Uren 1
213,SDN Wangkili,159,159_SDN Wangkili
179,SKB Balangan,160,160_SKB Balangan
90,SMAN 1 Awayan,161,161_SMAN 1 Awayan
91,SMAN 1 Halong,162,162_SMAN 1 Halong
92,SMAN 1 Juai,163,163_SMAN 1 Juai
530,SMAN 1 Lampihong,164,164_SMAN 1 Lampihong
93,SMAN 1 Paringin,165,165_SMAN 1 Paringin
396,SMAN 1 Tebing Tinggi,166,166_SMAN 1 Tebing Tinggi
528,SMAN 2 Halong,167,167_SMAN 2 Halong
529,SMAN 2 Juai,168,168_SMAN 2 Juai
94,SMAN 2 Paringin,169,169_SMAN 2 Paringin
97,SMK PPN Paringin,170,170_SMK PPN Paringin
95,SMKN 1 Batumandi,171,171_SMKN 1 Batumandi
96,SMKN 1 Paringin,172,172_SMKN 1 Paringin
98,SMPN 1 Awayan,173,173_SMPN 1 Awayan
99,SMPN 1 Batumandi,174,174_SMPN 1 Batumandi
100,SMPN 1 Halong,175,175_SMPN 1 Halong
101,SMPN 1 Juai,176,176_SMPN 1 Juai
102,SMPN 1 Lampihong,177,177_SMPN 1 Lampihong
103,SMPN 1 Paringin,178,178_SMPN 1 Paringin
104,SMPN 2 Awayan,179,179_SMPN 2 Awayan
105,SMPN 2 Batumandi,180,180_SMPN 2 Batumandi
106,SMPN 2 Halong,181,181_SMPN 2 Halong
107,SMPN 2 Juai,182,182_SMPN 2 Juai
108,SMPN 2 Lampihong,183,183_SMPN 2 Lampihong
109,SMPN 2 Paringin,184,184_SMPN 2 Paringin
110,SMPN 3 Awayan,185,185_SMPN 3 Awayan
111,SMPN 3 Batumandi,186,186_SMPN 3 Batumandi
112,SMPN 3 Halong,187,187_SMPN 3 Halong
113,SMPN 3 Paringin,188,188_SMPN 3 Paringin
114,SMPN 4 Awayan,189,189_SMPN 4 Awayan
397,SMPN 4 Batumandi,190,190_SMPN 4 Batumandi
115,SMPN 4 Halong,191,191_SMPN 4 Halong
116,SMPN 4 Paringin,192,192_SMPN 4 Paringin
117,SMPN 5 Halong,193,193_SMPN 5 Halong
118,SMPN 5 Paringin,194,194_SMPN 5 Paringin
592,SMPN 6 Halong Satu Atap,195,195_SMPN 6 Halong Satu Atap
614,SMPN Satu Atap Libaru Sungkai,196,196_SMPN Satu Atap Libaru Sungkai
591,SMPS Ikhwanul Muslimin,197,197_SMPS Ikhwanul Muslimin
300,TK Harapan Bangsa,198,198_TK Harapan Bangsa
607,TK Negeri Pembina Awayan,199,199_TK Negeri Pembina Awayan
264,TK Negeri Pembina Batumandi,200,200_TK Negeri Pembina Batumandi
292,TK Negeri Pembina Juai,201,201_TK Negeri Pembina Juai
183,TK Negeri Pembina Paringin,202,202_TK Negeri Pembina Paringin
608,TK Negeri Pembina Paringin Selatan,203,203_TK Negeri Pembina Paringin Selatan
178,SDLB Negeri Paringin,204,204_SDLB Negeri Paringin
88,UPT. Kecamatan Tebing Tinggi,205,205_UPT. Kecamatan Tebing Tinggi
89,UPT. Kecamatan Paringin Selatan,206,206_UPT. Kecamatan Paringin Selatan
83,UPT. Kecamatan Paringin,207,207_UPT. Kecamatan Paringin
82,UPT. Kecamatan Lampihong,208,208_UPT. Kecamatan Lampihong
86,UPT. Kecamatan Juai,209,209_UPT. Kecamatan Juai
87,UPT. Kecamatan Halong,210,210_UPT. Kecamatan Halong
84,UPT. Kecamatan Batumandi,211,211_UPT. Kecamatan Batumandi
85,UPT. Kecamatan Awayan,212,212_UPT. Kecamatan Awayan
249,MIN Tariwin,213,213_MIN Tariwin
536,PAUD Terpadu Awayan,214,214_PAUD Terpadu Awayan
609,Rumah Pintar,215,215_Rumah Pintar
590,SDIT Darul Fikri,216,216_SDIT Darul Fikri
532,SD Kecil Ambata,217,217_SD Kecil Ambata
333,SD Kecil Ampinang,218,218_SD Kecil Ampinang
337,SD Kecil Hampang,219,219_SD Kecil Hampang
531,SD Kecil Kurihai,220,220_SD Kecil Kurihai
335,SD Kecil Libaru Sungkai,221,221_SD Kecil Libaru Sungkai
334,SD Kecil Mabulan,222,222_SD Kecil Mabulan
144,SD Kecil Papuyuan,223,223_SD Kecil Papuyuan
366,SD Kecil Rantau Paku,224,224_SD Kecil Rantau Paku
365,SD Kecil Raranum,225,225_SD Kecil Raranum
535,SD Kecil Simpang Nadong,226,226_SD Kecil Simpang Nadong
534,SD Kecil Tampaan,227,227_SD Kecil Tampaan
533,SD Kecil Tanjungan Jelamu,228,228_SD Kecil Tanjungan Jelamu
336,SD Kecil Tinggar,229,229_SD Kecil Tinggar
354,SDK Andamai,230,230_SDK Andamai
352,SDK Mapat,231,231_SDK Mapat
351,SDK Sawang,232,232_SDK Sawang
353,SDK Sisirin,233,233_SDK Sisirin
