397,SMPN 4 Batumandi,190
115,SMPN 4 Halong,191
116,SMPN 4 Paringin,192
117,SMPN 5 Halong,193
118,SMPN 5 Paringin,194
592,SMPN 6 Halong Satu Atap,195
614,SMPN Satu Atap Libaru Sungkai,196
591,SMPS Ikhwanul Muslimin,197
300,TK Harapan Bangsa,198
607,TK Negeri Pembina Awayan,199
264,TK Negeri Pembina Batumandi,200
292,TK Negeri Pembina Juai,201
183,TK Negeri Pembina Paringin,202
608,TK Negeri Pembina Paringin Selatan,203
178,SDLB Negeri Paringin,204
88,UPT. Kecamatan Tebing Tinggi,205
89,UPT. Kecamatan Paringin Selatan,206
83,UPT. Kecamatan Paringin,207
82,UPT. Kecamatan Lampihong,208
86,UPT. Kecamatan Juai,209
87,UPT. Kecamatan Halong,210
84,UPT. Kecamatan Batumandi,211
85,UPT. Kecamatan Awayan,212
249,MIN Tariwin,213
536,PAUD Terpadu Awayan,214
609,Rumah Pintar,215
590,SDIT Darul Fikri,216
532,SD Kecil Ambata,217
333,SD Kecil Ampinang,218
337,SD Kecil Hampang,219
531,SD Kecil Kurihai,220
335,SD Kecil Libaru Sungkai,221
334,SD Kecil Mabulan,222
144,SD Kecil Papuyuan,223
366,SD Kecil Rantau Paku,224
365,SD Kecil Raranum,225
535,SD Kecil Simpang Nadong,226
534,SD Kecil Tampaan,227
533,SD Kecil Tanjungan Jelamu,228
336,SD Kecil Tinggar,229
354,SDK Andamai,230
352,SDK Mapat,231
351,SDK Sawang,232
353,SDK Sisirin,233
