170,SDN Lok Batung,82,082_SDN Lok Batung,sdn ajung
143,SDN Lok Hamawang,83,083_SDN Lok Hamawang,sdn ajung
142,SDN Lok Panginangan,84,084_SDN Lok Panginangan,sdn ajung
171,SDN Malihu,85,085_SDN Malihu,sdn ajung
326,SDN Mamantang,86,086_SDN Mamantang,sdn ajung
237,SDN Mampari,87,087_SDN Mampari,sdn ajung
172,SDN Mangkayahu,88,088_SDN Mangkayahu,sdn ajung
200,SDN Maningau,89,089_SDN Maningau,sdn ajung
238,SDN Mantimin 1,90,090_SDN Mantimin 1,sdn ajung
239,SDN Mantimin 2,91,091_SDN Mantimin 2,sdn ajung
327,SDN Mantuyan,92,092_SDN Mantuyan,sdn ajung
381,SDN Maradap,93,093_SDN Maradap,sdn ajung
277,SDN Marias,94,094_SDN Marias,sdn ajung
132,SDN Matang Hanau,95,095_SDN Matang Hanau,sdn ajung
328,SDN Mauya,96,096_SDN Mauya,sdn ajung
361,SDN Mayanau,97,097_SDN Mayanau,sdn ajung
201,SDN Merah,98,098_SDN Merah,sdn ajung
278,SDN Mihu 1,99,099_SDN Mihu 1,sdn ajung
279,SDN Mihu 2,100,100_SDN Mihu 2,sdn ajung
202,SDN Muara Jaya,101,101_SDN Muara Jaya,sdn ajung
280,SDN Muara Ninian,102,102_SDN Muara Ninian,sdn ajung
382,SDN Muara Pitap,103,103_SDN Muara Pitap,sdn ajung
133,SDN Mundar,104,104_SDN Mundar,sdn ajung
281,SDN Mungkur Uyam,105,105_SDN Mungkur Uyam,sdn ajung
240,SDN Munjung,106,106_SDN Munjung,sdn ajung
383,SDN Murung Abuin,107,107_SDN Murung Abuin,sdn ajung
173,SDN Murung Ilung,108,108_SDN Murung Ilung,sdn ajung
203,SDN Nungka,109,109_SDN Nungka,sdn ajung
282,SDN Pamurus,110,110_SDN Pamurus,sdn ajung
134,SDN Panaitan,111,111_SDN Panaitan,sdn ajung
362,SDN Panikin,112,112_SDN Panikin,sdn ajung
174,SDN Paringin 1,113,113_SDN Paringin 1,sdn ajung
175,SDN Paringin 2,114,114_SDN Paringin 2,sdn ajung
384,SDN Paringin Selatan 1,115,115_SDN Paringin Selatan 1,sdn ajung
176,SDN Paringin Timur,116,116_SDN Paringin Timur,sdn ajung
241,SDN Pelajau,117,117_SDN Pelajau,sdn ajung
204,SDN Pematang,118,118_SDN Pematang,sdn ajung
135,SDN Pimping,119,119_SDN Pimping,sdn ajung
205,SDN Piyait,120,120_SDN Piyait,sdn ajung
206,SDN Pulantan,121,121_SDN Pulantan,sdn ajung
207,SDN Pulau Kambang,122,122_SDN Pulau Kambang,sdn ajung
208,SDN Putat Basiun,123,123_SDN Putat Basiun,sdn ajung
329,SDN Puyun,124,124_SDN Puyun,sdn ajung
242,SDN Riwa,125,125_SDN Riwa,sdn ajung
243,SDN Sei Kusi,126,126_SDN Sei Kusi,sdn ajung
136,SDN Simpang Tiga,127,127_SDN Simpang Tiga,sdn ajung
283,SDN Sirap 1,128,128_SDN Sirap 1,sdn ajung
284,SDN Sirap 2,129,129_SDN Sirap 2,sdn ajung
285,SDN Sirap 3,130,130_SDN Sirap 3,sdn ajung
244,SDN Sumpung,131,131_SDN Sumpung,sdn ajung
286,SDN Sungai Batung,132,132_SDN Sungai Batung,sdn ajung
245,SDN Sungai Hanyar,133,133_SDN Sungai Hanyar,sdn ajung
177,SDN Sungai Ketapi,134,134_SDN Sungai Ketapi,sdn ajung
209,SDN Sungai Pumpung,135,135_SDN Sungai Pumpung,sdn ajung
137,SDN Sungai Tabuk,136,136_SDN Sungai Tabuk,sdn ajung
363,SDN Sungsum,137,137_SDN Sungsum,sdn ajung
330,SDN Tabuan 1,138,138_SDN Tabuan 1,sdn ajung
331,SDN Tabuan 2,139,139_SDN Tabuan 2,sdn ajung
138,SDN Tampang,140,140_SDN Tampang,sdn ajung
139,SDN Tanah Habang Kanan 1,141,141_SDN Tanah Habang Kanan 1,sdn ajung
140,SDN Tanah Habang Kanan 2,142,142_SDN Tanah Habang Kanan 2,sdn ajung
141,SDN Tanah Habang Kiri,143,143_SDN Tanah Habang Kiri,sdn ajung
385,SDN Tarangan,144,144_SDN Tarangan,sdn ajung
287,SDN Tawahan 1,145,145_SDN Tawahan 1,sdn ajung
296,SDN Tawahan 2,146,146_SDN Tawahan 2,sdn ajung
364,SDN Tebing Tinggi,147,147_SDN Tebing Tinggi,sdn ajung
386,SDN Telaga Purun,148,148_SDN Telaga Purun,sdn ajung
288,SDN Teluk Bayur 2,149,149_SDN Teluk Bayur 2,sdn ajung
